Epoch 1, Accuracy: 0.0161, Validation Accuracy: 0.0000
Epoch 2, Accuracy: 0.0132, Validation Accuracy: 0.0000
Epoch 3, Accuracy: 0.0094, Validation Accuracy: 0.0000
Epoch 4, Accuracy: 0.0151, Validation Accuracy: 0.0000
Epoch 5, Accuracy: 0.0132, Validation Accuracy: 0.0000
Epoch 6, Accuracy: 0.0094, Validation Accuracy: 0.0000
Epoch 7, Accuracy: 0.0104, Validation Accuracy: 0.0000
Epoch 8, Accuracy: 0.0123, Validation Accuracy: 0.0000
Epoch 9, Accuracy: 0.0151, Validation Accuracy: 0.0000
Epoch 10, Accuracy: 0.0113, Validation Accuracy: 0.0000
Epoch 11, Accuracy: 0.0151, Validation Accuracy: 0.0000
Epoch 12, Accuracy: 0.0113, Validation Accuracy: 0.0000
Epoch 13, Accuracy: 0.0123, Validation Accuracy: 0.0000
Epoch 14, Accuracy: 0.0123, Validation Accuracy: 0.0000
Epoch 15, Accuracy: 0.0132, Validation Accuracy: 0.0000
Epoch 16, Accuracy: 0.0189, Validation Accuracy: 0.0000
Epoch 17, Accuracy: 0.0057, Validation Accuracy: 0.0000
Epoch 18, Accuracy: 0.0094, Validation Accuracy: 0.0000
Epoch 19, Accuracy: 0.0066, Validation Accuracy: 0.0000
Epoch 20, Accuracy: 0.0113, Validation Accuracy: 0.0000
Epoch 21, Accuracy: 0.0113, Validation Accuracy: 0.0000
Epoch 22, Accuracy: 0.0076, Validation Accuracy: 0.0000
Epoch 23, Accuracy: 0.0123, Validation Accuracy: 0.0000
Epoch 24, Accuracy: 0.0085, Validation Accuracy: 0.0000
Epoch 25, Accuracy: 0.0094, Validation Accuracy: 0.0000
