Epoch 1, Accuracy: 0.0098, Validation Accuracy: 0.0000
Epoch 2, Accuracy: 0.0167, Validation Accuracy: 0.0000
Epoch 3, Accuracy: 0.0069, Validation Accuracy: 0.0000
Epoch 4, Accuracy: 0.0167, Validation Accuracy: 0.0000
Epoch 5, Accuracy: 0.0177, Validation Accuracy: 0.0000
Epoch 6, Accuracy: 0.0128, Validation Accuracy: 0.0000
Epoch 7, Accuracy: 0.0108, Validation Accuracy: 0.0000
Epoch 8, Accuracy: 0.0167, Validation Accuracy: 0.0000
Epoch 9, Accuracy: 0.0108, Validation Accuracy: 0.0000
Epoch 10, Accuracy: 0.0138, Validation Accuracy: 0.0000
Epoch 11, Accuracy: 0.0108, Validation Accuracy: 0.0000
Epoch 12, Accuracy: 0.0089, Validation Accuracy: 0.0000
Epoch 13, Accuracy: 0.0148, Validation Accuracy: 0.0000
Epoch 14, Accuracy: 0.0049, Validation Accuracy: 0.0000
Epoch 15, Accuracy: 0.0089, Validation Accuracy: 0.0000
Epoch 16, Accuracy: 0.0128, Validation Accuracy: 0.0000
Epoch 17, Accuracy: 0.0118, Validation Accuracy: 0.0000
Epoch 18, Accuracy: 0.0089, Validation Accuracy: 0.0000
Epoch 19, Accuracy: 0.0207, Validation Accuracy: 0.0000
Epoch 20, Accuracy: 0.0108, Validation Accuracy: 0.0000
Epoch 21, Accuracy: 0.0049, Validation Accuracy: 0.0000
Epoch 22, Accuracy: 0.0098, Validation Accuracy: 0.0000
Epoch 23, Accuracy: 0.0108, Validation Accuracy: 0.0000
Epoch 24, Accuracy: 0.0118, Validation Accuracy: 0.0000
Epoch 25, Accuracy: 0.0059, Validation Accuracy: 0.0000
